host,accesses, distinct client count
backend.geniasis.com, 48, 8, 
192.168.211.49, 24, 6, 
213.196.229.215:6143, 19, 4, 
hackensack.devqa.pieriandx.com, 4, 1, 
121.192.164.188, 3, 1, 
34.241.112.60:10001, 1, 1, 
34.245.213.140:10001, 1, 1, 
34.245.215.143:10011, 3, 1, 
192.10.5.100:8080, 2, 1, 
hintonserv.bioscience.liv.ac.uk, 192, 15, 
34.201.128.148, 1, 1, 
ec2-54-215-214-150.us-west-1.compute.amazonaws.com, 2, 1, 
hungria.imd.ufrn.br, 1, 1, 
192.168.16.248, 191, 1, 
schuster.cf, 9, 1, 
192.168.7.107, 1, 1, 
symbs.reefgenomics.org, 48, 18, 
172.16.179.128, 10, 1, 
jbrowse-dev.solynta.com, 121, 6, 
ves-oy-66:8032, 1, 1, 
149.165.156.156, 2, 1, 
162.243.149.53:8080, 30, 4, 
vc7-gpu-017.hpc.wehi.edu.au:3000, 5, 1, 
localhost:15280, 6, 1, 
bbv-ea2106.sciences.univ-tours.fr, 3, 1, 
192.168.200.106, 7, 1, 
192.168.220.131, 8, 1, 
pgdx.pieriandx.com, 1117, 81, 
115.145.138.237:2525, 16, 2, 
fisher.ncgr.org:50005, 11, 2, 
192.168.1.67:3000, 1, 1, 
192.168.1.67, 14, 2, 
200.131.37.155, 11, 4, 
192.168.253.207, 1, 1, 
192.168.253.152, 154, 1, 
10.192.36.85:8080, 18, 1, 
172.25.34.65:8001, 2, 1, 
slack.com, 1, 1, 
genedb-apollo.dev.sanger.ac.uk, 468, 6, 
18.218.55.17, 24, 1, 
nextmolecularopsqa.opsqa.pieriandx.com, 1, 1, 
192.168.0.188, 107, 1, 
149.165.156.15, 2, 1, 
172.25.34.51, 75, 2, 
192.168.1.106:8094, 35, 2, 
azolla.science.uu.nl, 145, 27, 
www.fernbase.org, 303, 94, 
mmb.pcb.ub.es, 6, 3, 
compbio.korea.ac.kr:8080, 2, 1, 
10.192.36.102:8080, 11, 1, 
togovar.l5dev.jp, 171, 21, 
172.17.107.169, 5, 1, 
192.168.76.28:8080, 8, 3, 
149.165.156.166, 5, 1, 
114.160.88.246, 71, 3, 
vm19058.virt.gwdg.de, 61, 2, 
10.71.115.210:8000, 12, 4, 
www.pseudomonas.ca, 1, 1, 
jserizay.site.preview.services, 10, 1, 
172.16.0.131:8080, 1, 1, 
www.jserizay.site.preview.services, 1, 1, 
jserizay.site, 503, 23, 
89.1.171.48:6143, 1, 1, 
hintonserv.bioscience.liv.ac.uk:8080, 7, 2, 
aventustest.pieriandx.com, 2, 2, 
162.243.149.53:8887, 1886, 389, 
ec2-54-243-14-143.compute-1.amazonaws.com, 2, 1, 
ec2-34-227-7-53.compute-1.amazonaws.com, 1, 1, 
glent-qa-1.emea.agrogroup.net, 168, 4, 
sibyl.wormbase.org, 142, 1, 
scbb.ihbt.res.in:8083, 1, 1, 
192.168.0.189, 5, 1, 
wcntusmjwzyxx:8082, 312, 9, 
bldr-tst-analysis-19, 13, 2, 
192.168.1.124:1111, 2, 1, 
prashanti.pieriandx.com, 1, 1, 
loki:1111, 84, 3, 
47.94.223.5, 554, 7, 
192.168.25.170, 452, 14, 
192.168.1.41, 1, 1, 
172.27.22.32, 47, 3, 
topaz.gatech.edu, 91, 22, 
129.114.104.239, 1, 1, 
54.144.108.163, 5, 1, 
cedarssinaiopsqa.opsqa.pieriandx.com, 92, 5, 
172.16.43.5, 1, 1, 
138.102.77.235, 9, 1, 
picea.plantphys.umu.se:18007, 52, 15, 
wakeforesttest.pieriandx.com, 29, 1, 
129.114.104.88:56512, 2, 1, 
marine-meta.healthscience.sci.waseda.ac.jp, 24, 3, 
132.248.220.37, 259, 26, 
10.71.115.210:8802, 5, 1, 
gmod2.sb-roscoff.fr, 5, 2, 
localhost:9002, 107, 1, 
10.34.229.74, 47, 2, 
162.243.149.53:8889, 7, 2, 
jadb.gurdon.private.cam.ac.uk, 18, 1, 
192.168.203.138:8080, 498, 46, 
bioinformatics.zju.edu.cn, 190, 29, 
192.168.203.169:2015, 65, 5, 
192.168.211.223, 1, 1, 
lotus.au.dk, 13, 2, 
172.16.6.156, 2, 1, 
10.1.202.24, 95, 1, 
marimba.obs-vlfr.fr, 600, 45, 
oxy-gen.pieriandx.com, 510, 6, 
analysis.unlimited.enz.local, 15, 1, 
archeranalysis-prod, 29, 1, 
ec2-52-91-239-133.compute-1.amazonaws.com, 2, 1, 
vkrishnalt-osx, 1, 1, 
ws522988.dyn.uhbs.ch:9180, 5, 1, 
gpsdev.dev.pieriandx.com, 239, 47, 
141.244.134.54, 3, 1, 
10.68.99.186, 376, 2, 
cedarssinaitest.pieriandx.com, 16, 4, 
www.cottongen.org, 1186, 322, 
bioinfor.imu.edu.cn, 6, 2, 
10.163.241.230, 49, 4, 
www.insect-genome.com, 183, 23, 
10.7.26.13, 58, 1, 
143.169.238.111, 23, 6, 
blast.ibbr.umd.edu, 4468, 5, 
test.cottongen.org, 227, 5, 
192.168.10.42, 13, 1, 
192.168.3.164:8080, 13, 3, 
172.20.20.234, 6, 2, 
172.28.1.113:8083, 13, 1, 
52.163.126.118:8001, 10, 1, 
openstack-192-168-100-98.genouest.org, 25, 3, 
erysimum.sgn.cornell.edu, 19, 3, 
132.236.81.76, 1, 1, 
erysimum.org, 2, 2, 
192.168.0.140, 396, 1, 
marimba, 82, 1, 
jbrowse-ssl.solynta.com, 22, 1, 
172.28.1.113:8010, 1, 1, 
192.168.218.128, 28, 1, 
localhost:88, 1, 1, 
172.20.8.19, 4, 1, 
172.20.4.42, 1, 1, 
192.168.56.184, 64, 1, 
www.erysimum.org, 5, 4, 
ec2-34-227-60-100.compute-1.amazonaws.com, 2, 1, 
133.39.77.222, 23, 4, 
10.11.28.101:50070, 1, 1, 
213.21.76.114, 8, 1, 
192.168.218.129, 7, 2, 
192.168.160.130, 17, 3, 
176.9.17.6, 11, 5, 
192.168.1.35, 17, 4, 
127.0.0.1:8082, 3, 1, 
www.tea.solgenomics.com, 8, 1, 
192.144.149.239, 5, 3, 
www.medcomp.medicina.unipd.it, 106, 2, 
coffee-mccarthy.sgn.cornell.edu, 41, 5, 
preview.pombase.org, 74, 12, 
mir-81.morgridge.us, 12, 2, 
133.39.116.55:8080, 3, 1, 
aararcher01, 14, 1, 
192.168.32.128:8080, 9, 1, 
192.168.32.128:2015, 1, 1, 
192.168.1.5:8080, 3, 2, 
localhost:10080, 172, 3, 
jbrowsedev.com:8080, 20, 3, 
localhost:8089, 19, 3, 
172.16.6.136, 1, 1, 
87.78.173.168:6143, 6, 2, 
stage.sanbi.ac.za, 1, 1, 
ctbstage.sanbi.ac.za, 98, 2, 
192.168.0.106, 3, 1, 
192.168.0.111, 2, 1, 
www.leptonet.org.in, 10, 9, 
192.168.25.230:8089, 11, 1, 
gbox.lab.nig.ac.jp, 53, 19, 
54.191.31.171, 23, 2, 
www.omicshare.com, 18, 4, 
192.168.100.61, 9, 1, 
ec2-54-236-53-184.compute-1.amazonaws.com:3838, 25, 1, 
ec2-54-236-53-184.compute-1.amazonaws.com, 8, 1, 
galaxy.anses.fr, 28, 1, 
dna-marker.biocenter.helsinki.fi:8085, 154, 3, 
piton.eb.local, 5, 1, 
192.168.200.242, 2, 1, 
analysis-archerdx.pathology.columbia.edu, 68, 1, 
172.16.106.32, 1, 1, 
10.30.10.225, 7, 2, 
meta.uoregon.edu, 2, 1, 
192.168.134.131, 1, 1, 
202.194.139.32, 1925, 368, 
galaxy.ipk-gatersleben.de, 18, 1, 
ehomd.org, 19, 3, 
192.168.56.251, 13, 1, 
123.1.189.153:8080, 1, 1, 
210.27.94.129, 4, 1, 
192.168.70.76, 4, 1, 
10.73.9.101:5000, 26, 3, 
132.76.113.115, 1, 1, 
35.192.47.121:5000, 12, 2, 
10.187.2.84:9090, 2, 1, 
tagrc.org, 153, 15, 
10.101.6.35, 47, 3, 
10.88.1.52, 23, 2, 
pac-sm-gafl01, 33, 2, 
cr-svc-adx1, 5, 1, 
10.55.104.222, 17, 2, 
172.16.1.16, 5, 1, 
s-tx-nexustest, 260, 4, 
orgn-prd-kd-5-1-3.enz.local, 3, 1, 
bioinfo.life.hust.edu.cn, 4, 2, 
211.67.31.242, 1, 1, 
10.187.2.96:9090, 1, 1, 
103.61.226.65, 4, 1, 
10.187.2.96, 1, 1, 
togo05.genes.nig.ac.jp, 3, 1, 
bstore.sb.research.phibred.com, 1, 1, 
172.16.0.173:9090, 2, 1, 
195.221.242.249, 14, 2, 
134.192.131.251:8080, 142, 14, 
morlscrnaseq.org, 330, 74, 
192.168.0.12:8080, 11, 1, 
magic.re.kr, 83, 11, 
210.27.94.129:8080, 69, 3, 
markerbase.labkm.net, 1, 1, 
124.16.144.6, 5, 1, 
www.pseudomonas.com., 1, 1, 
10.10.20.107:8080, 69, 1, 
172.20.19.38, 5, 1, 
10.187.2.104, 1, 1, 
39.107.244.151, 135, 24, 
127.0.0.1:60, 11, 1, 
192.168.56.1:60, 3, 1, 
apollo-degnan.qfab.org:8080, 29, 11, 
192.168.64.224, 1, 1, 
10.187.2.109:9090, 1, 1, 
10.187.2.109, 34, 1, 
ge.geneconversion.org, 177, 44, 
fahc.devqa.pieriandx.com, 29, 5, 
192.168.80.88, 46, 1, 
192.168.56.104, 16, 1, 
127.0.0.1:70, 3, 1, 
10.8.1.68:70, 16, 1, 
149.165.157.146, 2, 1, 
149.165.157.10, 2, 1, 
pineapple.angiosperms.org, 258, 32, 
report.genedenovo.com, 44, 18, 
10.187.2.89, 48, 3, 
oryzasnp.org, 1, 1, 
pgdxtest.pieriandx.com, 3, 2, 
bioinfor.jios.org, 2, 1, 
192.168.0.156, 83, 6, 
192.168.100.252, 7, 1, 
arclcdcpvm01.nyumc.org, 52, 1, 
172.16.43.9, 17, 1, 
18.188.225.24, 416, 27, 
jbrowse.eplant.org, 38, 14, 
10.10.116.141:8081, 4, 1, 
0.0.0.0:9001, 1, 1, 
192.168.160.131, 12, 3, 
61.50.130.61, 2, 2, 
www.locustmine.org, 24, 2, 
10.4.0.17, 19, 1, 
grape1:9000, 4, 1, 
152.46.16.189:8080, 9, 2, 
192.168.56.253, 3, 1, 
130.92.155.151:8090, 1, 1, 
clotho, 1, 1, 
10.0.0.104, 4, 1, 
daphniagenomes.org, 3, 1, 
172.31.46.14, 1, 1, 
edgebioinformatics.org, 71, 10, 
www.its.caltech.edu, 53, 18, 
bio-bigdata.hrbmu.edu.cn, 332, 93, 
192.168.1.113, 1, 1, 
192.168.1.2:6677, 4, 1, 
192.168.99.100:1337, 4, 2, 
192.168.1.2:6464, 234, 8, 
gunpowder.ebi.ac.uk:9122, 31, 1, 
128.196.142.2:32768, 1, 1, 
10.151.29.120, 141, 2, 
132.248.220.211, 12, 4, 
webapollo.ittc.ku.edu, 21, 1, 
mastomys.ucsf.edu:8080, 3, 1, 
10.187.2.80, 3, 1, 
192.126.123.68, 230, 39, 
172.20.20.237, 229, 4, 
opal.biology.gatech.edu, 1, 1, 
gunpowder:9122, 6, 1, 
usegalaxy.org.au, 45, 19, 
marinegenomics.unit.oist.jp, 1, 1, 
locustmine.org, 331, 15, 
192.168.1.197:628, 46, 4, 
jbtest.com:1337, 56, 4, 
10.0.0.183, 3, 1, 
149.165.157.42, 7, 2, 
192.126.123.68:8080, 49, 6, 
wu2938.lab.databiology.io, 3, 1, 
192.168.0.105, 119, 5, 
exon.gatech.edu, 2, 2, 
114.115.204.237:81, 24, 5, 
ilmerill.erasmusmc.nl:9280, 18, 4, 
bioinfo.uwindsor.ca, 39, 3, 
www.bioinfo.uwindsor.ca, 99, 1, 
137.207.24.132, 24, 5, 
142.135.89.97:8086, 12, 1, 
192.168.199.100:8090, 9, 1, 
10.21.1.75, 24, 1, 
638260.ichengyun.net, 1, 1, 
192.168.200.108, 1, 1, 
dxarch04, 60, 2, 
results.genoma4u.com, 2, 1, 
10.144.16.13, 2, 1, 
rpl-igmbuild01:8080, 87, 2, 
ctchpcpe004.merck.com:7000, 6, 2, 
192.168.100.203, 83, 1, 
172.17.107.172, 594, 8, 
bioinformatics.erc.monash.edu, 258, 22, 
archpa00002.srv.sydney.edu.au, 47, 2, 
115.145.138.237:8082, 266, 3, 
52.83.249.161:8081, 335, 56, 
localhost:8333, 4, 1, 
ctchpcpe004.merck.com:81, 9, 1, 
ctchpcpe004.merck.com:444, 17, 6, 
www.xiaomaizu.org, 2, 2, 
drupal7-tripal3-laceysanderson.c9users.io, 1, 1, 
localhost:8886, 93, 3, 
172.20.4.246:8080, 1, 1, 
archer01.biopticka.local, 17, 1, 
www.deepbiology.cn, 2, 1, 
172.20.4.246, 23, 1, 
127.0.0.1:9517, 57, 1, 
molevol.bio.ub.edu:8080, 5, 1, 
140.109.48.70:9517, 810, 21, 
pathwestopsqa.opsqa.pieriandx.com, 28, 4, 
galaxy-aust.genome.edu.au, 3, 1, 
www.ngs.vardetect.com, 3, 1, 
www.vardetect.com, 1, 1, 
10.200.131.72, 4, 1, 
119.23.221.199:3003, 72, 21, 
192.168.1.12, 8, 1, 
140.113.203.184:8080, 354, 15, 
192.168.160.132, 9, 2, 
togovar.org, 815, 62, 
localhost:32776, 1, 1, 
10.22.58.71, 42, 1, 
192.168.160.133, 128, 12, 
127.0.0.1:38939, 1, 1, 
vm19002.virt.gwdg.de, 33, 4, 
152.7.99.241:8080, 17, 5, 
mcg.devqa.pieriandx.com, 11, 4, 
192.168.203.169:2000, 66, 4, 
whiteflyresearch.org, 63, 7, 
jbrowsev2.0.solynta.com, 15, 2, 
40.197.54.164, 7, 2, 
13.125.98.116, 5, 3, 
mcg.ustc.edu.cn, 5, 4, 
122.205.95.116:8080, 29, 6, 
seracare.analysis.archerdx.com, 2, 1, 
localhost:13001, 40, 16, 
pichiagenome.boku.ac.at, 7, 1, 
10.73.106.47, 5, 1, 
qbview.url.cn, 4, 3, 
uvaopsqa.opsqa.pieriandx.com, 1, 1, 
uva.devqa.pieriandx.com, 1, 1, 
ngsnpl.private.bii:8080, 5, 1, 
192.168.118.133, 170, 7, 
www.omicshare.cn, 6, 1, 
blade09.platomics.com, 5, 1, 
10.75.122.123, 8, 5, 
openstack-192-168-100-137.genouest.org, 2, 1, 
172.20.4.59:3000, 1, 1, 
172.20.4.59:3001, 3, 1, 
172.20.4.59:3002, 218, 1, 
edged64d.lanl.gov, 18, 2, 
192.168.118.200, 56, 1, 
ytmac.nig.ac.jp:8080, 136, 2, 
web-pathapollodev-01.internal.sanger.ac.uk:8000, 26, 1, 
192.168.0.32, 2, 1, 
localhost:65008, 110, 4, 
192.168.56.10:7082, 35, 1, 
lonza.bxgenomics.com, 2, 1, 
analysis4.bxgenomics.com, 19, 1, 
192.168.0.110, 6, 1, 
124.16.129.42, 1172, 20, 
ep.dbcls.jp, 189, 8, 
tools.1001genomes.org, 3, 1, 
localhost:7788, 1, 1, 
www.omicsbean.com:8066, 1, 1, 
plantseq.org, 680, 55, 
10.9.5.14, 4, 3, 
www.plantseq.org, 8, 5, 
54.147.135.143, 1, 1, 
yambase-test.sgn.cornell.edu, 2, 2, 
gbrowse.ircf.missouri.edu, 26, 4, 
192.168.56.226, 2, 1, 
tunguska-nrc.ddns.net, 70, 3, 
edged64h.lanl.gov, 5, 1, 
54.221.53.154, 8, 1, 
50.17.240.201, 1, 1, 
chond77516.phaseolus.biz, 96, 13, 
172.20.20.233:8080, 13, 5, 
133.39.116.12:8080, 3, 1, 
dev-genome.annotation.jp, 78, 13, 
www.omicsmart.com, 72, 43, 
www.rnanut.net, 2, 2, 
urgi235:8080, 9, 3, 
wheat.ngrok.tcsci.com:8080, 15, 4, 
localhost:8989, 3, 1, 
10.0.0.138, 15, 1, 
togovar_test.l5dev.jp, 353, 2, 
homd.org, 4, 3, 
pathwesttest.pieriandx.com, 26, 5, 
srivastavalab.rc.fas.harvard.edu, 285, 17, 
dev.rosaceae.org, 20, 2, 
10.96.96.77, 1, 1, 
39.106.57.70, 376, 10, 
13.125.25.142, 1, 1, 
192.168.86.129:8080, 41, 1, 
192.168.160.134, 2, 1, 
odin-prod.perkinelmerdna.net, 2620, 1, 
mtb.wadsworth.org, 1, 1, 
dev68.amyris.local, 1, 1, 
tank.css.msu.edu, 26, 6, 
10.122.68.120, 57, 1, 
43.240.96.108, 43, 19, 
10.65.102.23:8080, 29, 1, 
www.omeresearchfacility.in, 69, 8, 
ec2-54-89-245-194.compute-1.amazonaws.com, 85, 18, 
192.168.33.10:3000, 1, 1, 
192.168.160.135, 63, 5, 
www.treeshrewdb.org, 6, 2, 
ngspipelines.toulouse.inra.fr:9012, 1, 1, 
www.birchgenome.org, 5, 1, 
192.168.0.28:8080, 16, 1, 
edgedh.lanl.gov, 16, 6, 
edgedf.lanl.gov, 31, 14, 
edgedg.lanl.gov, 12, 4, 
aardwolf.bio.indiana.edu:7082, 18, 3, 
192.168.56.202, 11, 1, 
sjcbiobox.driscolls.com:83, 6, 1, 
165.194.20.44, 1, 1, 
jbrowse.test.uc-pred.marathon.caas-nq.emea.roche.com:2770, 3, 2, 
ec2-107-21-134-158.compute-1.amazonaws.com, 163, 18, 
10.1.7.50, 1, 1, 
130.85.169.215, 367, 4, 
jbrowse.niab.com, 18, 1, 
172.16.0.81, 1, 1, 
sjcbiobox.driscolls.com:84, 3, 1, 
planc-te.cp.utfpr.edu.br, 185, 13, 
10.199.105.113, 423, 6, 
192.168.56.220, 17, 1, 
jbrowse-test.jcvi.org, 1, 1, 
192.168.1.107, 38, 7, 
103.61.226.71, 377, 6, 
10.60.65.6, 1, 1, 
158.109.38.162, 37, 2, 
10.163.242.36, 1, 1, 
10.163.243.14, 14, 5, 
18.208.158.27:8080, 10, 3, 
pgnarcheranalysis01, 21, 1, 
hpc-s1.cs.technion.ac.il, 84, 2, 
35.8.120.44:8080, 11, 1, 
133.48.33.31:8000, 7, 3, 
careexpress.6655.la:60119, 216, 19, 
10.1.7.27, 17, 1, 
18.208.158.27, 3, 1, 
10.21.1.149, 13, 1, 
dev.wormbase.org:9019, 19, 3, 
52.206.58.152, 2, 2, 
172.20.8.18, 593, 1, 
52.207.196.105, 4, 1, 
52.207.196.105:8080, 1, 1, 
172.16.100.43, 1, 1, 
172.20.20.248:8080, 1, 1, 
localhost:11180, 1, 1, 
togovar.biosciencedbc.jp, 1080, 176, 
dev.plabipd.de, 1, 1, 
bioinformatics.uni-muenster.de, 56, 2, 
fe-01v2.int.agbiome.com, 12, 1, 
www.bioinformatics.uni-muenster.de, 33, 4, 
10.1.7.36, 68, 1, 
baleia.ufes.br:35600, 19, 5, 
marimba-test, 8, 1, 
floridahospitalopsqa.opsqa.pieriandx.com, 2, 2, 
18.206.216.252, 1, 1, 
genome.bluhmlab.com, 459, 42, 
192.168.2.199:9090, 115, 4, 
vc7hpc-241.hpc.wehi.edu.au:3000, 1, 1, 
vc7hpc-241.hpc.wehi.edu.au:8080, 29, 3, 
pathwest.pieriandx.com, 971, 10, 
10.88.1.17, 13, 2, 
40.114.75.201, 10, 4, 
52.90.201.28, 259, 30, 
128.40.80.56:8080, 34, 3, 
jbrowseapp.azurewebsites.net, 7, 2, 
www.pepperpan.org:8012, 4, 2, 
sci-sgd-dev01:3000, 43, 10, 
lange-bioinfo-s2600cp:9090, 2, 1, 
ubuntulinux.westus.cloudapp.azure.com, 163, 7, 
gdkm.wikim.re.kr, 22, 1, 
134.121.85.160:8080, 228, 6, 
lange-bioinfo-s2600cp:8080, 5, 1, 
192.168.2.199:9394, 52, 3, 
localhost:8095, 14, 2, 
agbiomedb.int.agbiome.com, 3, 1, 
veeninglab.com, 195, 73, 
alpha.bioinf.uni-sb.de, 2, 1, 
reswebdev301.gene.com, 125, 2, 
sjcbiobox.driscolls.com:85, 1, 1, 
vm-apweb-glent1-dev-1.emea.agrogroup.net, 3, 2, 
blade12, 5, 1, 
192.168.10.8, 45, 1, 
128.206.116.5:8080, 159, 16, 
kkh.analysis.archerdx.com, 7, 1, 
10.2.40.78, 171, 4, 
141.244.131.69, 1, 1, 
agbiomedb, 6, 1, 
localhost:7778, 60, 1, 
192.168.122.56, 3, 1, 
192.168.200.112, 1, 1, 
bias5-web.nibb.ac.jp:8113, 13, 8, 
benkirane-data.igh.cnrs.fr, 7, 2, 
192.168.2.199, 336, 12, 
133.28.110.118, 27, 3, 
130.85.169.215:8090, 9, 2, 
10.10.20.158, 5, 1, 
www.veeninglab.com, 14, 11, 
vc7hpc-248.hpc.wehi.edu.au:8080, 10, 2, 
vc7hpc-248.hpc.wehi.edu.au:8081, 53, 2, 
bias4-login.nibb.ac.jp:8113, 3, 3, 
158.108.145.118, 4, 3, 
archer.klinika-golnik.si, 2, 1, 
115.145.139.243:3000, 41, 2, 
cuda, 6, 1, 
olinfres.nig.ac.jp, 1, 1, 
10.176.253.86, 2, 1, 
10.100.155.231, 22, 1, 
10.246.58.216, 11, 1, 
ec2-54-198-8-234.compute-1.amazonaws.com:9003, 7, 1, 
kinkaku, 1, 1, 
localhost:10007, 2, 1, 
ynpags.nig.ac.jp:8080, 93, 2, 
canada1.genome.edu.au, 88, 9, 
nvme1.wurnet.nl, 7, 2, 
192.168.21.17, 10, 1, 
entbox.niid.go.jp, 7, 1, 
entbox.nih.go.jp, 9, 1, 
59.61.55.172, 2, 1, 
www.biotrainee.com, 1, 1, 
129.114.16.121, 1, 1, 
172.18.44.175, 4, 1, 
149.165.169.18, 8, 1, 
149.165.168.222, 20, 4, 
192.168.56.250, 7, 1, 
210.27.97.24, 83, 2, 
perk2.local, 19, 1, 
143.169.30.178, 399, 2, 
202.205.131.31, 69, 1, 
peach.igh.cnrs.fr:8080, 232, 10, 
fox.rgd.mcw.edu:8080, 114, 2, 
147.99.34.11:8080, 1, 1, 
192.168.88.224, 1, 1, 
129.93.136.200, 4, 1, 
edge-bioinformatics-test.org, 2, 2, 
l-lmho-a01.vwdv.uk-koeln.de, 1, 1, 
www.edgebioinformatics.org, 2, 1, 
resdev.gene.com, 6, 1, 
gds.genomics.cn:8889, 3, 2, 
10.53.18.133, 515, 4, 
10.246.12.135, 39, 2, 
192.168.200.111, 1, 1, 
genomics.bgu.ac.il, 65, 8, 
localhost:64237, 1, 1, 
ss4.lungmap.net, 2, 2, 
130.85.169.215:8095, 2, 1, 
130.85.169.215:8083, 4, 1, 
mki93856-o7010.local:8080, 13, 1, 
www.genedatabase.cn, 5, 1, 
192.168.2.27, 10, 1, 
clevelandclinic.pieriandx.com, 262, 5, 
bldr-tst-analysis-27, 1, 1, 
130.85.169.215:8081, 5, 1, 
130.85.169.215:8088, 50, 3, 
10.21.1.133, 1, 1, 
ec2-54-85-171-219.compute-1.amazonaws.com:8080, 1, 1, 
ec2-18-205-115-77.compute-1.amazonaws.com:8080, 1, 1, 
holmes, 35, 1, 
wapollo.bioscience.liv.ac.uk, 2, 2, 
54.165.240.154, 1, 1, 
159.203.111.227, 13, 5, 
archerdx1.sc1.roche.com, 1, 1, 
www.google.fr, 1, 1, 
172.30.0.105, 22, 1, 
210.46.85.171:8080, 3, 1, 
138.102.144.82, 2, 1, 
192.168.0.140:8080, 8, 1, 
omicsbean.com:8066, 10, 1, 
jbrowse.ibmp.unistra.fr, 30, 1, 
cucurbitgenomics.feilab.net, 1, 1, 
130.85.169.215:8089, 17, 3, 
bioinfodbs.kantiana.ru, 198, 12, 
18.219.238.238, 12, 2, 
www.yeastss.org, 123, 14, 
yeastss.org, 184, 14, 
0.0.0.0:5001, 10, 1, 
d1z2353u4vgwj0.cloudfront.net, 5, 1, 
101.201.64.179:8500, 9, 3, 
spinachbasez.feilab.net, 109, 2, 
172.21.7.71, 1, 1, 
hardwoods.ag.utk.edu, 10, 3, 
10.229.97.26, 13, 1, 
210.73.41.122, 9, 2, 
kalbfleisch-equcab3.intrepidbio.com, 80, 7, 
galaxy-ctb.sanbi.ac.za, 2, 1, 
10.3.249.52, 60, 2, 
viennalabs.platomics.com, 2, 1, 
www.polebio.lrsv.ups-tlse.fr, 31, 1, 
218.6.173.102, 11, 1, 
134.245.63.205, 3, 1, 
zm4db.genebang.com, 7, 5, 
localhost:8060, 6, 1, 
localhost:8050, 16, 1, 
219.245.196.155, 49, 5, 
localhost:8040, 1, 1, 
jbrowse.oceancloud.cn, 204, 11, 
localhost:8010, 2, 1, 
localhost:8049, 1, 1, 
localhost:8048, 1, 1, 
147.99.156.182, 15, 1, 
localhost:8033, 20, 1, 
192.168.0.79, 68, 4, 
summit.med.unideb.hu, 162, 12, 
192.168.150.24, 3, 1, 
ec2-13-59-174-150.us-east-2.compute.amazonaws.com, 22, 3, 
10.144.40.205, 1, 1, 
58.49.113.134:92, 19, 4, 
bioinfo-web.mpl.ird.fr, 21, 1, 
47.104.157.77, 4, 2, 
green-l-bio.ethz.ch:8090, 7, 3, 
172.16.10.136, 4, 1, 
localhost:34580, 12, 2, 
dev-pags.annotation.jp, 35, 9, 
genlab7:8080, 2, 1, 
172.20.20.242, 15, 4, 
120.78.165.50, 2, 1, 
blade11, 3, 1, 
ec2-35-171-182-228.compute-1.amazonaws.com:8002, 9, 1, 
gn-bamview-test.s3-website-us-east-1.amazonaws.com, 36, 5, 
stiberhad.asuscomm.com, 2, 1, 
h1.bioinfo.perdanauniversity.edu.my:8080, 81, 12, 
192.168.20.100, 3, 1, 
www.sporothrixgenomedatabase.org, 38, 12, 
192.168.0.143, 1, 1, 
172.25.34.66, 4, 1, 
tracks.kelleher.northwestern.edu, 24, 2, 
3, 1, 1, 
nucmap.bigd.big.ac.cn, 214, 12, 
plantpanjb.itps.ncku.edu.tw, 31, 2, 
192.168.11.112, 8, 1, 
cgp-7-1-16.internal.sanger.ac.uk:8099, 9, 2, 
sporothrixgenomedatabase.org, 1, 1, 
192.168.0.81, 76, 4, 
0.0.0.0:8000, 7, 1, 
nlfij-s2699.rz.rijkzwaan.net:8000, 1, 1, 
192.168.253.204, 43, 1, 
localhost:8881, 3, 1, 
localhost:8882, 15, 1, 
nlfij-s2699.rz.rijkzwaan.net:8882, 1, 1, 
13.59.174.150, 10, 2, 
52.83.146.109:8081, 1, 1, 
pdc-dev.esacinc.com, 29, 6, 
10.49.47.217, 12, 1, 
pecantoolbox.nmsu.edu, 6, 1, 
bias5-web.nibb.ac.jp:8115, 4, 1, 
13.55.146.46, 11, 5, 
localhost:4000, 106, 2, 
server1.mohrkeg.co.at, 30, 2, 
18.191.159.191, 4, 1, 
18.222.127.33, 12, 1, 
dev.chlambase.org, 262, 11, 
192.168.0.19, 1, 1, 
180.208.58.19:1111, 9, 1, 
180.208.58.29, 1, 1, 
192.168.1.134, 6, 1, 
132.206.29.92, 3, 2, 
35.239.58.220:5000, 2, 1, 
172.19.87.28, 6, 1, 
phyzen-lab.com, 1, 1, 
fbdqltd.solgenomics.net, 1, 1, 
c03, 6, 1, 
ec2-13-55-146-46.ap-southeast-2.compute.amazonaws.com, 7, 3, 
10.41.1.11, 13, 1, 
172.25.41.102, 1, 1, 
tnibaseb.feilab.net, 60, 6, 
mimi, 1, 1, 
careexpress.6655.la:15999, 88, 9, 
172.20.20.249, 1, 1, 
northshore.devqa.pieriandx.com, 5, 3, 
jujube.nwafu.edu.cn, 6, 1, 
archer.patologija.mf, 20, 1, 
imics.boku.ac.at:9000, 2, 1, 
192.168.56.18:3000, 1, 1, 
10.1.1.21, 100, 3, 
172.20.20.250, 10, 1, 
localhost:8999, 7, 1, 
bioinformatics2.erc.monash.edu:8888, 34, 6, 
192.168.1.200:8080, 11, 1, 
www.cosmoss.org, 5, 1, 
82.49.107.115, 2, 1, 
192.168.1.200, 7, 2, 
133.28.110.118:9090, 6, 2, 
www.cassbase.org, 2, 1, 
devel.homd.org, 4, 1, 
fisher.ncgr.org:50021, 20, 4, 
ec2-52-53-220-49.us-west-1.compute.amazonaws.com, 7, 1, 
